Угол, град;Дальность, м;Время полета, с
15,0;2710,32;12,499
15,0;2717,66;12,538
15,1;2725,037;12,578
15,2;2732,397;12,617
15,2;2739,726;12,657
15,3;2747,093;12,696
15,3;2754,384;12,736
15,4;2761,703;12,775
15,4;2769,013;12,815
15,5;2776,283;12,854
15,5;2783,591;12,893
15,6;2790,834;12,933
15,6;2798,094;12,972
15,7;2805,355;13,011
15,7;2812,566;13,051
15,8;2819,815;13,09
15,8;2827,009;13,129
15,9;2834,21;13,169
15,9;2841,422;13,208
16,0;2848,575;13,247
16,0;2855,764;13,286
16,1;2862,91;13,326
16,1;2870,051;13,365
16,2;2877,215;13,404
16,2;2884,309;13,443
16,3;2891,437;13,482
16,3;2898,536;13,521
16,4;2905,616;13,56
16,4;2912,732;13,6
16,5;2919,766;13,639
16,5;2926,833;13,678
16,6;2933,885;13,717
16,6;2940,905;13,756
16,7;2947,959;13,795
16,7;2954,946;13,834
16,8;2961,952;13,873
16,8;2968,957;13,912
16,9;2975,916;13,951
16,9;2982,908;13,99
17,0;2989,85;14,029
17,0;2996,794;14,068
17,1;3003,752;14,107
17,1;3010,65;14,145
17,2;3017,579;14,184
17,2;3024,475;14,223
17,3;3031,358;14,262
17,3;3038,27;14,301
17,4;3045,106;14,339
17,4;3051,973;14,378
17,5;3058,823;14,417
17,5;3065,644;14,456
17,6;3072,495;14,495
17,6;3079,285;14,533
17,7;3086,09;14,572
17,7;3092,895;14,611
17,8;3099,654;14,649
17,8;3106,442;14,688
17,9;3113,187;14,727
17,9;3119,929;14,765
18,0;3126,69;14,804
18,0;3133,387;14,842
18,1;3140,112;14,881
18,1;3146,814;14,92
18,2;3153,493;14,958
18,2;3160,201;14,997
18,3;3166,844;15,035
18,3;3173,506;15,074
18,4;3180,164;15,112
18,4;3186,781;15,151
18,5;3193,426;15,189
18,5;3200,026;15,228
18,6;3206,625;15,266
18,6;3213,239;15,305
18,7;3219,793;15,343
18,7;3226,374;15,381
18,8;3232,931;15,42
18,8;3239,467;15,458
18,9;3246,029;15,496
18,9;3252,529;15,535
19,0;3259,046;15,573
19,0;3265,561;15,611
19,1;3272,033;15,649
19,1;3278,531;15,688
19,2;3284,989;15,726
19,2;3291,442;15,764
19,3;3297,914;15,802
19,3;3304,322;15,841
19,4;3310,755;15,879
19,4;3317,171;15,917
19,5;3323,559;15,955
19,5;3329,972;15,993
19,6;3336,333;16,031
19,6;3342,701;16,069
19,7;3349,075;16,108
19,7;3355,399;16,145
19,8;3361,747;16,184
19,8;3368,066;16,222
19,9;3374,369;16,26
19,9;3380,696;16,298
20,0;3386,961;16,336
20,0;3393,243;16,374
20,1;3399,521;16,412
20,1;3405,759;16,449
20,2;3412,02;16,487
20,2;3418,244;16,525
20,3;3424,46;16,563
20,3;3430,697;16,601
20,4;3436,87;16,639
20,4;3443,065;16,677
20,5;3449,248;16,715
20,5;3455,399;16,752
20,6;3461,572;16,79
20,6;3467,702;16,828
20,7;3473,831;16,866
20,7;3479,974;16,903
20,8;3486,059;16,941
20,8;3492,166;16,979
20,9;3498,256;17,016
20,9;3504,319;17,054
21,0;3510,403;17,092
21,0;3516,441;17,129
21,1;3522,482;17,167
21,1;3528,532;17,205
21,2;3534,529;17,242
21,2;3540,547;17,28
21,3;3546,546;17,317
21,3;3552,52;17,355
21,4;3558,514;17,393
21,4;3564,462;17,43
21,5;3570,412;17,467
21,5;3576,372;17,505
21,6;3582,28;17,542
21,6;3588,207;17,58
21,7;3594,116;17,617
21,7;3600,0;17,655
21,8;3605,903;17,692
21,8;3611,762;17,729
21,9;3617,622;17,767
21,9;3623,492;17,804
22,0;3629,31;17,842
22,0;3635,146;17,879
22,1;3640,966;17,916
22,1;3646,759;17,953
22,2;3652,57;17,991
