"Скорость, м/с","Угол, град","t, с","m, кг","V, м/с","a, м/с",M,C_Xa,"X_a, Н","α, рад","Θ_c, рад","dV/dt, м/с²",C_Ya,"Y_a, Н","dΘ_c/dt, с⁻¹","Θ_c, град","θ, град","y, м","dy/dt, м/с","x, м","dx/dt, м/с","M_z^α, Н·м/рад","ω_z, с⁻¹","dω_z/dt, с⁻²","ρ, кг/м³","p, Па"
245,"44,20","0,00","800,00","245,00","340,29","0,7200","0,4700","3455,69","-0,77144","0,7714","0,00","0,2500","-1418,10","0,0000","44,200","0,00","0,00","0,00","0,00","0,00","-2117,58","0,7714","0,0000","1,22500","101325,0"
245,"44,20","0,30","800,00","241,70","340,10","0,7107","0,4607","3280,60","-0,05891","0,7614","-10,87","0,2500","-104,88","-0,0299","43,624","40,25","50,62","166,75","52,60","174,96","-2024,38","3,2633","1,0575","1,21906","100718,3"
245,"44,20","0,60","800,00","238,48","339,91","0,7016","0,4516","3115,99","0,73978","0,7535","-10,60","0,2500","1276,13","-0,0233","43,175","85,56","100,10","163,17","104,94","173,91","-1936,40","1,3487","-11,8765","1,21327","100128,2"
245,"44,20","0,90","800,00","235,33","339,72","0,6927","0,4427","2960,90","0,59126","0,7465","-10,36","0,2500","988,58","-0,0253","42,771","76,65","148,55","159,81","156,93","172,75","-1853,16","-2,2399","-9,1443","1,20763","99553,2"
245,"44,20","1,20","800,00","232,26","339,54","0,6840","0,4340","2814,73","-0,29221","0,7377","-10,11","0,2500","-473,73","-0,0338","42,266","25,52","195,96","156,21","208,62","171,88","-1774,38","-3,0211","4,2623","1,20212","98993,0"
245,"44,20","1,50","800,00","229,27","339,36","0,6756","0,4256","2677,08","-0,83349","0,7266","-9,86","0,2500","-1310,77","-0,0391","41,628","-6,13","242,24","152,30","260,10","171,37","-1699,88","-0,2812","11,7764","1,19676","98448,6"
245,"44,20","1,80","800,00","226,34","339,19","0,6673","0,4173","2547,51","-0,42073","0,7151","-9,61","0,2500","-642,10","-0,0363","40,970","16,86","287,34","148,41","311,44","170,90","-1629,46","2,6439","5,7376","1,19156","97920,5"
245,"44,20","2,10","800,00","223,49","339,02","0,6592","0,4092","2425,39","0,46042","0,7052","-9,39","0,2500","682,18","-0,0296","40,404","66,78","331,32","144,86","362,62","170,19","-1562,82","2,5682","-5,9520","1,18651","97407,7"
245,"44,20","2,40","800,00","220,71","338,85","0,6513","0,4013","2310,06","0,85683","0,6969","-9,18","0,2500","1232,95","-0,0271","39,928","89,02","374,30","141,65","413,53","169,25","-1499,61","-0,2194","-10,6909","1,18159","96908,8"
245,"44,20","2,70","800,00","217,99","338,69","0,6436","0,3936","2201,00","0,37657","0,6882","-8,98","0,2500","526,43","-0,0317","39,431","61,01","416,32","138,45","464,17","168,37","-1439,58","-2,7241","-4,5393","1,17679","96423,0"
245,"44,20","3,00","800,00","215,32","338,53","0,6360","0,3860","2097,93","-0,47838","0,6775","-8,77","0,2500","-649,93","-0,0392","38,820","11,41","457,34","134,98","514,59","167,76","-1382,61","-2,5369","5,4785","1,17212","95950,5"
245,"44,20","3,30","800,00","212,73","338,38","0,6287","0,3787","2000,65","-0,88167","0,6650","-8,55","0,2500","-1164,58","-0,0431","38,103","-12,41","497,28","131,27","564,86","167,39","-1328,61","-0,0202","9,7484","1,16758","95492,4"
245,"44,20","3,60","800,00","210,19","338,23","0,6214","0,3714","1908,88","-0,47679","0,6523","-8,34","0,2500","-612,56","-0,0407","37,375","10,06","536,11","127,59","615,02","167,03","-1277,46","2,3958","5,0902","1,16319","95048,8"
245,"44,20","3,90","800,00","207,72","338,08","0,6144","0,3644","1822,22","0,35245","0,6409","-8,14","0,2500","440,61","-0,0352","36,722","56,92","573,87","124,20","665,06","166,50","-1228,94","2,6157","-3,5839","1,15893","94618,9"
245,"44,20","4,20","800,00","205,31","337,94","0,6075","0,3575","1740,22","0,88397","0,6310","-7,96","0,2500","1075,68","-0,0320","36,151","86,80","610,66","121,11","714,90","165,78","-1182,84","0,6032","-8,6990","1,15478","94201,6"
245,"44,20","4,50","800,00","202,94","337,80","0,6008","0,3508","1662,53","0,68843","0,6212","-7,78","0,2500","815,72","-0,0343","35,590","75,03","646,54","118,11","764,52","165,04","-1138,97","-1,8610","-6,5403","1,15076","93796,0"
245,"44,20","4,80","800,00","200,64","337,67","0,5942","0,3442","1588,95","-0,05591","0,6100","-7,60","0,2500","-64,52","-0,0404","34,950","31,75","681,51","114,94","813,94","164,45","-1097,24","-2,8185","0,4927","1,14684","93402,2"
245,"44,20","5,10","800,00","198,38","337,54","0,5877","0,3377","1519,36","-0,75940","0,5969","-7,41","0,2500","-854,07","-0,0462","34,201","-9,31","715,48","111,51","863,21","164,08","-1057,61","-1,6460","6,6774","1,14305","93020,8"
245,"44,20","5,40","800,00","196,19","337,41","0,5815","0,3315","1453,65","-0,90032","0,5827","-7,21","0,2500","-987,11","-0,0480","33,384","-18,20","748,40","107,95","912,40","163,82","-1020,02","0,6594","7,6507","1,13938","92652,5"
245,"44,20","5,70","800,00","194,06","337,29","0,5753","0,3253","1391,62","-0,39455","0,5686","-7,02","0,2500","-421,91","-0,0453","32,577","9,97","780,26","104,49","961,50","163,53","-984,38","2,3947","3,2470","1,13584","92297,1"
245,"44,20","6,00","800,00","191,98","337,17","0,5694","0,3194","1333,00","0,38686","0,5557","-6,84","0,2500","403,66","-0,0408","31,837","54,00","811,12","101,27","1010,50","163,09","-950,56","2,4101","-3,0503","1,13242","91954,0"
245,"44,20","6,30","800,00","189,95","337,05","0,5636","0,3136","1277,51","0,91018","0,5439","-6,67","0,2500","927,03","-0,0381","31,165","83,31","841,05","98,30","1059,35","162,54","-918,41","0,8036","-6,9576","1,12911","91622,2"
245,"44,20","6,60","800,00","187,98","336,94","0,5579","0,3079","1224,91","0,84242","0,5324","-6,51","0,2500","837,86","-0,0394","30,505","78,77","870,11","95,42","1108,02","161,96","-887,80","-1,2946","-6,2341","1,12591","91301,0"
245,"44,20","6,90","800,00","186,05","336,83","0,5524","0,3024","1175,08","0,24375","0,5200","-6,34","0,2500","236,83","-0,0441","29,791","43,76","898,29","92,44","1156,53","161,46","-858,68","-2,5527","-1,7533","1,12280","90990,3"
245,"44,20","7,20","800,00","184,17","336,72","0,5470","0,3000","1139,49","-0,50454","0,5058","-6,17","0,2500","-479,10","-0,0498","28,983","0,07","925,55","89,24","1204,91","161,11","-835,63","-2,2647","3,5030","1,11981","90690,7"
245,"44,20","7,50","800,00","182,34","336,62","0,5417","0,3000","1114,11","-0,95289","0,4903","-6,01","0,2500","-884,69","-0,0535","28,090","-26,51","951,81","85,86","1253,20","160,86","-817,02","-0,6782","6,4820","1,11693","90402,7"
245,"44,20","7,80","800,00","180,57","336,52","0,5366","0,3000","1089,80","-0,84641","0,4741","-5,84","0,2500","-768,68","-0,0536","27,164","-21,33","977,06","82,44","1301,43","160,65","-799,19","1,2372","5,6386","1,11417","90126,6"
245,"44,20","8,10","800,00","178,84","336,43","0,5316","0,3000","1066,52","-0,25707","0,4584","-5,67","0,2500","-228,48","-0,0508","26,264","11,54","1001,29","79,14","1349,59","160,38","-782,12","2,3869","1,6829","1,11152","89862,2"
