"Скорость, м/с","Угол, град","t, с","m, кг","V, м/с","a, м/с",M,C_Xa,"X_a, Н","α, рад","Θ_c, рад","dV/dt, м/с²",C_Ya,"Y_a, Н","dΘ_c/dt, с⁻¹","Θ_c, град","θ, град","y, м","dy/dt, м/с","x, м","dx/dt, м/с","M_z^α, Н·м/рад","ω_z, с⁻¹","dω_z/dt, с⁻²","ρ, кг/м³","p, Па"
245,20,0.0,800.0,245.0,340.29,0.72,0.47,3455.69,-0.34907,0.3491,0.0,0.25,-641.68,0.0,20.0,0.0,0.0,0.0,0.0,0.0,-2117.58,0.3491,0.0,1.225,101325.0
245,20,1.0,800.0,237.74,339.99,0.6993,0.4493,3087.24,0.12648,0.3116,-6.87,0.25,217.3,-0.0381,17.854,25.1,78.2,72.89,228.27,226.29,-1922.09,-1.4222,-2.0453,1.21583,100389.1
245,20,2.0,800.0,231.27,339.74,0.6807,0.4307,2782.81,0.15352,0.27,-6.09,0.25,247.96,-0.0395,15.469,24.26,145.46,61.68,452.83,222.89,-1759.2,1.2743,-2.2245,1.20799,99589.8
245,20,3.0,800.0,225.52,339.52,0.6642,0.4142,2531.11,-0.32677,0.2296,-5.4,0.25,-499.16,-0.0451,13.155,-5.57,202.05,51.33,674.03,219.6,-1623.48,-0.7711,4.4017,1.20142,98921.3
245,20,4.0,800.0,220.47,339.34,0.6497,0.3997,2323.9,0.38554,0.1861,-4.72,0.25,560.38,-0.0405,10.66,32.75,247.94,40.78,892.17,216.67,-1510.96,0.0617,-4.8442,1.19611,98381.8
245,20,5.0,800.0,216.07,339.2,0.637,0.387,2153.61,-0.37584,0.1415,-4.08,0.25,-522.88,-0.048,8.109,-13.42,283.71,30.48,1107.42,213.91,-1417.94,0.3169,4.4375,1.19198,97963.0
245,20,6.0,800.0,212.31,339.11,0.6261,0.3761,2015.66,0.34158,0.0968,-3.47,0.25,457.69,-0.0433,5.546,25.12,309.06,20.52,1320.04,211.31,-1342.23,-0.7024,-3.8212,1.18907,97667.0
245,20,7.0,800.0,209.14,339.05,0.6168,0.3668,1905.03,-0.30724,0.0493,-2.86,0.25,-398.87,-0.0492,2.825,-14.78,324.58,10.31,1530.12,208.88,-1281.32,0.7738,3.2832,1.18728,97486.3
245,20,8.0,800.0,206.56,339.03,0.6093,0.3593,1819.03,0.28393,0.0034,-2.31,0.25,359.38,-0.0453,0.196,16.46,329.98,0.7,1737.83,206.56,-1233.92,-0.9473,-2.923,1.18666,97423.4
245,20,9.0,800.0,204.53,339.04,0.6033,0.3533,1754.34,-0.2733,-0.0457,-1.75,0.25,-339.31,-0.05,-2.617,-18.28,325.74,-9.34,1943.26,204.32,-1198.35,0.8779,2.733,1.18715,97472.7
245,20,10.0,800.0,203.05,339.1,0.5988,0.3488,1709.43,0.27351,-0.0923,-1.23,0.25,335.12,-0.046,-5.286,10.39,311.63,-18.71,2146.5,202.18,-1173.88,-0.9667,-2.6792,1.18877,97637.1
245,20,11.0,800.0,202.07,339.19,0.5957,0.3457,1682.08,-0.28069,-0.1418,-0.72,0.25,-341.39,-0.0502,-8.122,-24.2,288.08,-28.55,2347.62,200.04,-1159.34,0.8428,2.7151,1.19148,97912.0
245,20,12.0,800.0,201.59,339.31,0.5941,0.3441,1671.54,0.2906,-0.1883,-0.25,0.25,352.9,-0.0456,-10.789,5.86,254.84,-37.74,2546.64,198.03,-1154.37,-0.901,-2.7984,1.19531,98300.9
245,20,13.0,800.0,201.57,339.48,0.5938,0.3438,1676.25,-0.29984,-0.2372,0.21,0.25,-365.53,-0.0496,-13.589,-30.77,212.37,-47.36,2743.63,195.92,-1158.14,0.7681,2.8963,1.20022,98799.7
245,20,14.0,800.0,201.99,339.68,0.5946,0.3446,1696.06,0.30496,-0.2829,0.62,0.25,375.19,-0.0443,-16.208,1.26,160.4,-56.38,2938.55,193.96,-1170.55,-0.8352,-2.9769,1.20625,99412.9
245,20,15.0,800.0,202.8,339.91,0.5966,0.3466,1729.79,-0.30419,-0.3303,1.02,0.25,-379.51,-0.0481,-18.925,-36.35,99.41,-65.78,3131.48,191.84,-1190.95,0.7377,3.0212,1.21335,100136.5
245,20,16.0,800.0,204.0,340.18,0.5997,0.3497,1777.66,0.29446,-0.3743,1.36,0.25,374.24,-0.0424,-21.448,-4.58,29.12,-74.59,3322.3,189.87,-1219.43,-0.855,-2.9948,1.22158,100975.6
245,20,16.38,800.0,204.54,340.29,0.6011,0.3511,1799.2,-0.13594,-0.3911,1.49,0.25,-174.21,-0.0454,-22.407,-30.2,0.0,-77.97,3394.65,189.1,-1232.14,-1.196,1.3854,1.22486,101311.1
245,29,0.0,800.0,245.0,340.29,0.72,0.47,3455.69,-0.5236,0.5236,1.5,0.25,-962.51,-0.0455,30.0,0.0,0.0,-78.13,0.0,189.06,-2117.58,0.5236,1.6087,1.225,101325.0
245,29,1.0,800.0,236.22,339.85,0.6951,0.4451,3008.31,0.20624,0.4894,-8.37,0.25,348.5,-0.0348,28.042,39.86,116.57,111.05,210.39,208.49,-1879.24,-2.0693,-3.2566,1.21135,99932.4
245,29,2.0,800.0,228.26,339.44,0.6725,0.4225,2639.37,0.18139,0.4494,-7.56,0.25,283.32,-0.0372,25.746,36.14,221.65,99.15,417.4,205.6,-1680.52,1.9822,-2.5055,1.19915,98690.6
245,29,3.0,800.0,221.06,339.08,0.6519,0.4019,2333.93,-0.42745,0.4118,-6.84,0.25,-620.53,-0.0441,23.595,-0.9,315.56,88.48,621.41,202.57,-1514.25,-1.4486,5.3674,1.18832,97591.3
245,29,4.0,800.0,214.58,338.76,0.6334,0.3834,2081.13,0.54146,0.3687,-6.14,0.25,734.74,-0.0384,21.126,52.15,398.28,77.34,822.83,200.16,-1375.23,0.7866,-6.1878,1.17884,96631.2
245,29,5.0,800.0,208.76,338.48,0.6168,0.3668,1871.16,-0.5843,0.3261,-5.48,0.25,-745.25,-0.0489,18.682,-14.8,470.55,66.87,1021.7,197.76,-1258.65,-0.5426,6.1166,1.17061,95798.8
245,29,6.0,800.0,203.62,338.25,0.602,0.352,1698.16,0.59867,0.28,-4.83,0.25,722.08,-0.0419,16.043,50.34,531.93,56.27,1218.47,195.69,-1161.72,0.3813,-5.7864,1.16366,95096.4
245,29,7.0,800.0,199.09,338.05,0.5889,0.3389,1555.47,-0.5929,0.2337,-4.21,0.25,-680.25,-0.0522,13.387,-20.58,583.27,46.1,1413.1,193.68,-1081.12,-0.622,5.333,1.15787,94512.1
